batter_a,year,strikeout_mean.1.00,strikeout_mean.2.00,strikeout_mean.3.00,strikeout_mean.4.00,strikeout_mean.5.00,strikeout_mean.6.00,strikeout_mean.7.00,strikeout_mean.8.00,walk_mean.1.00,walk_mean.2.00,walk_mean.3.00,walk_mean.4.00,walk_mean.5.00,walk_mean.6.00,walk_mean.7.00,walk_mean.8.00
russa002,"2,016.00",0.20,0.18,0.30,0.35,0.22,0.17,0.23,0.18,0.10,0.15,0.03,0.07,0.13,0.05,0.07,0.10
ryanb002,"2,012.00",0.18,0.27,0.22,0.20,0.17,0.17,0.18,0.25,0.15,0.12,0.07,0.12,0.08,0.08,0.05,0.05
sandp001,"2,013.00",0.05,0.13,0.10,0.15,0.22,0.18,0.13,0.08,0.07,0.00,0.08,0.03,0.03,0.10,0.08,0.10
sandp001,"2,014.00",0.18,0.25,0.12,0.10,0.12,0.15,0.08,0.08,0.13,0.03,0.00,0.02,0.07,0.08,0.02,0.05
sandp001,"2,015.00",0.22,0.12,0.13,0.08,0.10,0.13,0.18,0.18,0.07,0.10,0.02,0.02,0.02,0.05,0.08,0.03
sanom001,"2,016.00",0.32,0.33,0.35,0.30,0.32,0.38,0.33,0.42,0.13,0.17,0.08,0.17,0.07,0.08,0.03,0.12
santc002,"2,012.00",0.20,0.23,0.17,0.17,0.23,0.13,0.10,0.12,0.18,0.12,0.15,0.13,0.12,0.23,0.13,0.07
santc002,"2,013.00",0.17,0.20,0.18,0.20,0.17,0.15,0.17,0.17,0.13,0.15,0.18,0.07,0.13,0.10,0.12,0.05
santc002,"2,014.00",0.12,0.25,0.20,0.20,0.25,0.27,0.15,0.12,0.22,0.13,0.20,0.22,0.12,0.12,0.17,0.13
santc002,"2,015.00",0.18,0.08,0.20,0.08,0.22,0.22,0.17,0.20,0.13,0.25,0.15,0.18,0.10,0.10,0.13,0.12
santc002,"2,016.00",0.13,0.10,0.13,0.05,0.22,0.13,0.22,0.17,0.12,0.15,0.18,0.10,0.10,0.08,0.12,0.15
saunm001,"2,012.00",0.22,0.33,0.25,0.15,0.20,0.20,0.30,0.20,0.08,0.13,0.08,0.07,0.03,0.07,0.03,0.03
saunm001,"2,016.00",0.22,0.35,0.20,0.28,0.25,0.28,0.35,0.23,0.10,0.12,0.07,0.10,0.07,0.12,0.15,0.10
schin001,"2,013.00",0.10,0.17,0.13,0.18,0.15,0.28,0.30,0.18,0.05,0.03,0.00,0.13,0.07,0.07,0.00,0.08
schoj001,"2,014.00",0.28,0.25,0.13,0.18,0.22,0.33,0.25,0.33,0.00,0.05,0.02,0.05,0.00,0.05,0.02,0.03
schoj001,"2,016.00",0.18,0.27,0.22,0.22,0.17,0.13,0.20,0.23,0.05,0.02,0.02,0.07,0.03,0.03,0.00,0.05
scutm001,"2,012.00",0.02,0.10,0.05,0.08,0.12,0.13,0.08,0.03,0.07,0.03,0.10,0.07,0.03,0.05,0.07,0.10
scutm001,"2,013.00",0.10,0.07,0.02,0.05,0.08,0.05,0.03,0.12,0.05,0.07,0.07,0.12,0.07,0.05,0.15,0.02
seagc001,"2,016.00",0.13,0.15,0.17,0.23,0.18,0.15,0.30,0.18,0.02,0.15,0.03,0.07,0.12,0.05,0.07,0.05
seagk001,"2,012.00",0.12,0.15,0.17,0.20,0.25,0.13,0.18,0.18,0.02,0.03,0.13,0.12,0.08,0.10,0.08,0.05
seagk001,"2,013.00",0.15,0.20,0.20,0.13,0.15,0.18,0.07,0.13,0.08,0.10,0.10,0.07,0.08,0.03,0.12,0.07
seagk001,"2,014.00",0.18,0.23,0.20,0.18,0.17,0.15,0.18,0.17,0.13,0.07,0.08,0.03,0.08,0.07,0.05,0.07
seagk001,"2,015.00",0.10,0.13,0.10,0.23,0.12,0.12,0.08,0.15,0.08,0.03,0.03,0.08,0.07,0.08,0.05,0.07
seagk001,"2,016.00",0.20,0.12,0.10,0.10,0.18,0.17,0.23,0.13,0.10,0.07,0.10,0.05,0.10,0.08,0.03,0.08
seguj002,"2,013.00",0.13,0.13,0.12,0.10,0.03,0.18,0.13,0.17,0.03,0.08,0.03,0.02,0.02,0.02,0.07,0.03
seguj002,"2,014.00",0.13,0.15,0.12,0.08,0.13,0.13,0.13,0.07,0.02,0.00,0.05,0.05,0.00,0.05,0.02,0.08
seguj002,"2,015.00",0.10,0.15,0.17,0.17,0.10,0.20,0.13,0.20,0.03,0.02,0.02,0.00,0.05,0.00,0.02,0.00
seguj002,"2,016.00",0.08,0.17,0.13,0.10,0.22,0.07,0.20,0.17,0.03,0.02,0.02,0.03,0.07,0.17,0.00,0.08
semim001,"2,015.00",0.20,0.17,0.25,0.13,0.25,0.23,0.23,0.20,0.08,0.03,0.07,0.03,0.12,0.02,0.03,0.08
semim001,"2,016.00",0.22,0.25,0.23,0.22,0.15,0.32,0.22,0.22,0.12,0.10,0.08,0.05,0.07,0.10,0.07,0.05
shawt001,"2,016.00",0.23,0.25,0.17,0.30,0.18,0.23,0.28,0.30,0.08,0.07,0.08,0.05,0.08,0.05,0.05,0.12
shucj001,"2,013.00",0.12,0.07,0.03,0.13,0.13,0.12,0.15,0.13,0.07,0.05,0.10,0.02,0.07,0.05,0.00,0.10
simma001,"2,013.00",0.10,0.10,0.12,0.03,0.12,0.07,0.03,0.03,0.10,0.05,0.02,0.05,0.05,0.02,0.07,0.05
simma001,"2,014.00",0.02,0.10,0.17,0.10,0.10,0.05,0.08,0.12,0.02,0.05,0.00,0.08,0.07,0.05,0.10,0.05
simma001,"2,015.00",0.05,0.03,0.15,0.07,0.00,0.13,0.05,0.08,0.05,0.10,0.02,0.07,0.03,0.05,0.10,0.10
simma001,"2,016.00",0.07,0.03,0.10,0.10,0.12,0.08,0.08,0.05,0.02,0.07,0.03,0.05,0.05,0.05,0.10,0.07
smits002,"2,014.00",0.15,0.18,0.12,0.15,0.20,0.15,0.12,0.13,0.10,0.13,0.13,0.15,0.10,0.10,0.13,0.15
smoaj001,"2,012.00",0.27,0.20,0.22,0.22,0.13,0.22,0.28,0.18,0.05,0.08,0.02,0.13,0.10,0.08,0.10,0.08
smoaj001,"2,013.00",0.18,0.22,0.28,0.23,0.23,0.22,0.27,0.15,0.12,0.15,0.15,0.10,0.10,0.12,0.10,0.10
solay001,"2,014.00",0.13,0.10,0.08,0.10,0.17,0.13,0.07,0.10,0.10,0.13,0.10,0.05,0.13,0.08,0.10,0.10
solay001,"2,015.00",0.07,0.17,0.10,0.10,0.10,0.12,0.10,0.03,0.10,0.03,0.07,0.05,0.08,0.05,0.10,0.00
soria001,"2,012.00",0.22,0.18,0.20,0.22,0.20,0.27,0.35,0.25,0.02,0.05,0.05,0.05,0.07,0.05,0.03,0.12
soria001,"2,013.00",0.22,0.13,0.30,0.18,0.28,0.22,0.23,0.30,0.03,0.03,0.00,0.05,0.00,0.05,0.05,0.05
souzs001,"2,016.00",0.33,0.42,0.30,0.33,0.33,0.30,0.38,0.25,0.07,0.07,0.10,0.05,0.03,0.05,0.05,0.10
spand001,"2,012.00",0.12,0.20,0.02,0.15,0.07,0.13,0.10,0.10,0.05,0.08,0.13,0.08,0.10,0.07,0.12,0.07
spand001,"2,013.00",0.08,0.18,0.15,0.12,0.12,0.12,0.05,0.12,0.15,0.03,0.08,0.00,0.08,0.05,0.10,0.02
spand001,"2,014.00",0.13,0.10,0.10,0.02,0.10,0.13,0.12,0.07,0.10,0.03,0.07,0.05,0.07,0.08,0.10,0.15
spand001,"2,016.00",0.07,0.07,0.12,0.08,0.18,0.25,0.10,0.08,0.05,0.18,0.10,0.08,0.07,0.07,0.07,0.05
sprig001,"2,016.00",0.25,0.22,0.22,0.22,0.18,0.20,0.17,0.20,0.07,0.05,0.23,0.07,0.07,0.12,0.15,0.12
stanm004,"2,012.00",0.22,0.28,0.23,0.17,0.33,0.27,0.33,0.43,0.05,0.08,0.10,0.15,0.05,0.07,0.02,0.05
stanm004,"2,013.00",0.33,0.13,0.25,0.32,0.20,0.28,0.27,0.33,0.13,0.08,0.12,0.18,0.22,0.07,0.17,0.12
stanm004,"2,014.00",0.25,0.32,0.17,0.20,0.25,0.28,0.25,0.32,0.07,0.03,0.13,0.13,0.08,0.07,0.13,0.13
stanm004,"2,016.00",0.33,0.22,0.45,0.35,0.25,0.30,0.20,0.17,0.12,0.17,0.08,0.08,0.08,0.10,0.03,0.08
